 "reg" , "ann" , "nb_etu" , "amount" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2001" , "1130484" , "171625.65e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2002" , "1159754" , "175704.62e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2003" , "1195008" , "182031.51e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2004" , "1202278" , "116380.43e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2005" , "1201682" , "180286.56000000003e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2006" , "1186918" , "342554.43e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2007" , "1174000" , "367223.0800000001e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2008" , "1180234" , "364730.05000000005e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2009" , "1232454" , "375537.79e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2010" , "1235844" , "398090.18000000005e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2011" , "1252940" , "407710.77e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2012" , "1267284" , "417177.69999999995e0" ,
 "https://ex.org/CPR/region/%C3%8Ele-de-France" , "2013" , "1291326" , "425234.10000000003e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2001" , "207252" , "14498.339999999998e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2002" , "212664" , "14900.1e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2003" , "219406" , "15913.14e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2004" , "219914" , "10681.499999999998e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2005" , "220428" , "15571.419999999998e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2006" , "216242" , "33878.77e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2007" , "212433" , "36705.24e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2008" , "211608" , "38709.35999999999e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2009" , "219478" , "39423.119999999995e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2010" , "221218" , "39181.479999999996e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2011" , "227582" , "39402.700000000004e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2012" , "231656" , "40952.66e0" ,
 "https://ex.org/CPR/region/Bretagne" , "2013" , "236494" , "40005.71e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2001" , "115852" , "13988.5e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2002" , "116418" , "13271.79e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2003" , "117012" , "14676.900000000001e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2004" , "116858" , "7192.46e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2005" , "116957" , "14750.76e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2006" , "113926" , "29922.59e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2007" , "112044" , "29179.93e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2008" , "109008" , "29779.05e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2009" , "111587" , "30438.559999999998e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2010" , "109318" , "32393.310000000005e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2011" , "112780" , "29463.3e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2012" , "113022" , "27949.019999999997e0" ,
 "https://ex.org/CPR/region/Centre-Val_de_Loire" , "2013" , "114029" , "28307.59e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2001" , "201230" , "12559.439999999999e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2002" , "204816" , "11357.6e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2003" , "207554" , "12268.679999999998e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2004" , "210312" , "6287.03e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2005" , "216628" , "13727.19e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2006" , "211946" , "29903.599999999995e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2007" , "214918" , "28638.469999999994e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2008" , "217926" , "29371.239999999998e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2009" , "229720" , "32374.09e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2010" , "228830" , "33307.15e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2011" , "230077" , "35275.229999999996e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2012" , "235410" , "35796.799999999996e0" ,
 "https://ex.org/CPR/region/Pays_de_la_Loire" , "2013" , "244068" , "36451.24e0" ,
