 "year" , "budget_region" , "nb_ing" , "nb_dut" ,
 "2001" , "487127.40000000276e0" , "71343755" , "175838076" ,
 "2002" , "489796.54000000237e0" , "73358454" , "172092071" ,
 "2003" , "487127.4000000027e0" , "74574587" , "170181732" ,
 "2004" , "487127.4000000009e0" , "76361345" , "168406214" ,
 "2005" , "487127.4000000035e0" , "76762356" , "168620130" ,
 "2006" , "495901.16000000224e0" , "77489974" , "170445632" ,
 "2007" , "495901.1600000031e0" , "78899019" , "174162174" ,
 "2008" , "495901.16000000335e0" , "81446183" , "177220540" ,
 "2009" , "495901.1600000013e0" , "82795528" , "177656330" ,
 "2010" , "495901.1600000014e0" , "85445014" , "174799094" ,
 "2011" , "626357.900000002e0" , "91283614" , "173884964" ,
 "2012" , "629045.2600000022e0" , "92717944" , "173072420" ,
 "2013" , "631732.6199999992e0" , "94243754" , "174849176" ,
 "2014" , "631732.6199999984e0" , "97745535" , "176171930" ,
 "2015" , "631732.6200000007e0" , "102048610" , "176518922" ,
